# ./cyclops -w STRIDED_ARRAY -m TASK_CLOCK_NS -u 5 -r 3 -s array-size-kib=10:2800:20 -p repeats=100
array-size-kib,CPU_CYCLES:MIN,CPU_CYCLES:MAX,CPU_CYCLES:MEDIAN,INSTRUCTIONS:MIN,INSTRUCTIONS:MAX,INSTRUCTIONS:MEDIAN,TASK_CLOCK_NS:MIN,TASK_CLOCK_NS:MAX,TASK_CLOCK_NS:MEDIAN,
1870,130442003.000000,130576072.000000,130447293.0000001870,14960711.000000,14960712.000000,14960711.0000001870,52436626.000000,52493327.000000,52440669.000000
1890,132124424.000000,132359878.000000,132259969.0000001890,15120712.000000,15120714.000000,15120712.0000001890,53121104.000000,53214029.000000,53177817.000000
1910,133672667.000000,133870295.000000,133687164.0000001910,15280712.000000,15280713.000000,15280713.0000001910,53730797.000000,53821462.000000,53740519.000000
1930,135131490.000000,135285955.000000,135146738.0000001930,15440713.000000,15440714.000000,15440713.0000001930,54323686.000000,54379202.000000,54327128.000000
1950,136459820.000000,136633109.000000,136471725.0000001950,15600713.000000,15600714.000000,15600714.0000001950,54845645.000000,54923286.000000,54863364.000000
1970,138009064.000000,138029633.000000,138026705.0000001970,15760714.000000,15760715.000000,15760715.0000001970,55476671.000000,55487417.000000,55484979.000000
1990,139420579.000000,139427988.000000,139420737.0000001990,15920715.000000,15920715.000000,15920715.0000001990,56039710.000000,56053907.000000,56047185.000000
2010,140986901.000000,141142985.000000,140988236.0000002010,16080715.000000,16080716.000000,16080716.0000002010,56671249.000000,56741246.000000,56675247.000000
2030,142594805.000000,142901157.000000,142609209.0000002030,16240716.000000,16240716.000000,16240716.0000002030,57315895.000000,57455326.000000,57322161.000000
2050,117485042.000000,117565947.000000,117486190.0000002050,16400706.000000,16400707.000000,16400706.0000002050,47223206.000000,47268495.000000,47231223.000000
2070,118781921.000000,119417785.000000,118892341.0000002070,16560707.000000,16560707.000000,16560707.0000002070,47756404.000000,48008187.000000,47803686.000000
2090,119713291.000000,119806383.000000,119723237.0000002090,16720707.000000,16720707.000000,16720707.0000002090,48119832.000000,48162964.000000,48124168.000000
2110,121069352.000000,121075662.000000,121071217.0000002110,16880707.000000,16880708.000000,16880708.0000002110,48667245.000000,48678539.000000,48671728.000000
2130,122226128.000000,122384947.000000,122370190.0000002130,17040708.000000,17040709.000000,17040708.0000002130,49130253.000000,49202101.000000,49198831.000000
2150,123401909.000000,123554467.000000,123410354.0000002150,17200708.000000,17200709.000000,17200709.0000002150,49602979.000000,49677786.000000,49606803.000000
2170,124651367.000000,125274562.000000,124657238.0000002170,17360709.000000,17360710.000000,17360709.0000002170,50110504.000000,50377472.000000,50113956.000000
2190,126015393.000000,126205918.000000,126015504.0000002190,17520709.000000,17520710.000000,17520710.0000002190,50657632.000000,50740149.000000,50658823.000000
2210,127097939.000000,127313881.000000,127098483.0000002210,17680710.000000,17680711.000000,17680710.0000002210,51097633.000000,51197207.000000,51105580.000000
2230,128320330.000000,128574171.000000,128322163.0000002230,17840710.000000,17840711.000000,17840711.0000002230,51591165.000000,51709315.000000,51593274.000000
